airport_name;airport_code;country_code;city_code;lat;lon;
Pueblo Memorial Airport;PUB;US;PUB;38.292.778;-10.449.611;
Qurghonteppa International Airport;KQT;TJ;KQT;3.785.961;6.886.117;
Beijing Nanyuan Airport;NAY;CN;BJS;397.825;11.638.778;
Greenbrier Valley Airport;LWB;US;LWB;37.859.722;-8.039.861;
Pangnirtung Airport;YXP;CA;YXP;6.613.333;-6.573.333;
Plovdiv Airport;PDV;BG;PDV;42.3;24.716.667;
Tyler Pounds Regional Airport;TYR;US;TYR;32.351.597;-9.541.012;
Winnipeg James Armstrong Richardson International Airport;YWG;CA;YWG;49.9;-9.723.333;
Cotapaxi International Airport;LTX;EC;LTX;-0.901111;-786.025;
Chapelco Airport;CPC;AR;CPC;-40.066.666;-7.113.333;
Depati Amir Airport;PGK;ID;PGK;-2.164.017;10.613.707;
Nanning Airport;NNG;CN;NNG;2.261.321;1.081.675;
Legaspi Airport;LGP;PH;LGP;1.315.213;1.237.302;
Teller Airport;TLA;US;TLA;6.527.167;-166.355;
Lianyungang Airport;LYG;CN;LYG;34.565.937;11.887.698;
Yancheng Nanyang International Airport;YNZ;CN;YNZ;3.343.468;12.020.418;
Geneve Airport;GVA;CH;GVA;46.229.633;6.105.774;
Ahmedabad Airport;AMD;IN;AMD;2.306.639;7.262.417;
Catamarca Airport;CTC;AR;CTC;-28.448.334;-65.779.724;
Daqing Shi Airport;DQA;CN;DQA;4.658.736;12.522.841;
King Salmon Airport;AKN;US;AKN;5.868.274;-15.666.902;
Fredericton International Airport;YFC;CA;YFC;4.587.316;-6.652.978;
Kalymnos Island National Airport;JKL;GR;JKL;36.963.333;26.940.556;
Aitutaki Airport;AIT;CK;AIT;-18.829.443;-159.767;
Khartoum International Airport;KRT;SD;KRT;15.592.217;32.549.698;
Point Hope Airport;PHO;US;PHO;68.35;-166.8;
Hamilton International Airport;HLZ;NZ;HLZ;-3.786.622;17.533.603;
Hoskins Airport;HKN;PG;HKN;-5.456.876;150.403;
Governador Valadares Airport;GVR;BR;GVR;-18.850.279;-41.933.334;
Fernando De Noronha Airport;FEN;BR;FEN;-3.85;-32.416.668;
Saint Mary's Airport;KSM;US;KSM;62.058.666;-16.329.489;
Coal Harbour Sea Plane Base;CXH;CA;YVR;49.266.666;-12.311.667;
Buchanan Field;CCR;US;CCR;37.988.888;-12.205.556;
Kansai International Airport;KIX;JP;OSA;3.443.533;13.524.397;
Abbotsford Airport;YXX;CA;YXX;49.025.555;-122.361.946;
La Braq Airport;LAQ;LY;LAQ;32.788.612;21.964.167;
Woodbourne Airport;BHE;NZ;BHE;-41.513.588;17.386.765;
Iqaluit Airport;YFB;CA;YFB;6.375.175;-6.853.658;
Gaya Airport;GAY;IN;GAY;24.746.668;8.494.583;
Tuguegarao Airport;TUG;PH;TUG;17.641.111;12.173.167;
Mawella Lagoon Airport;DIW;LK;DIW;5.990.751;8.073.323;
Warsaw-Modlin Airport;WMI;PL;WAW;5.245.111;20.651.667;
Campbell County Airport;GCC;US;GCC;44.346.355;-105.532.684;
Libo County Libo City Airport;LLB;CN;LLB;25.452.477;107.961.914;
Gen Lucio Blanco International Airport;REX;MX;REX;260.125;-98.23;
Waterloo Airport;ALO;US;ALO;4.255.611;-9.239.972;
James M. Cox Dayton International Airport;DAY;US;DAY;39.898.006;-84.220.764;
Bornholm Airport;RNN;DK;RNN;55.065.556;14.757.778;
Agadir Al Massira Airport;AGA;MA;AGA;30.378.326;-9.555.895;
Sentani Airport;DJJ;ID;DJJ;-2.569.887;14.051.299;
General Santos International Airport;GES;PH;GES;6.108.066;12.523.424;
Malikus Saleh Airport;LSW;ID;LSW;5.166.667;97.166.664;
Calicut International Airport;CCJ;IN;CCJ;1.114.025;75.950.584;
Robert (Bob) Curtis Memorial Airport;ORV;US;ORV;6.682.917;-1.610.236;
Toncontin Airport;TGU;HN;TGU;14.060.123;-8.721.972;
Kaohsiung International Airport;KHH;TW;KHH;225.725;120.345.276;
Doncaster Sheffield Airport;DSA;GB;DSA;53.481.003;-101.155;
Budapest Ferenc Liszt International Airport;BUD;HU;BUD;47.433.037;19.261.621;
Kursk Vostochny Airport;URS;RU;URS;51.75;36.266.666;
Yibin Caiba Airport;YBP;CN;YBP;28.797.659;10.454.395;
Maya Maya Airport;BZV;CG;BZV;-4.258.899;15.251.139;
Tongliao Airport;TGO;CN;TGO;4.355.701;122.204.605;
Postville Airport;YSO;CA;YSO;54.916.668;-59.966.667;
Mar Del Plata Airport;MDQ;AR;MDQ;-37.934.723;-57.572.224;
Zhukovsky International Airport;ZIA;RU;MOW;55.569.016;38.141.964;
Gran Canaria Airport;LPA;ES;LPA;27.938.944;-15.389.351;
Hasvik Airport;HAA;NO;HAA;7.046.667;22.15;
Columbia Metropolitan Airport;CAE;US;CAE;33.946.907;-8.112.501;
Langgur Airport;LUV;ID;LUV;-5.666.667;13.271.666;
Arturo Merino Benitez Airport;SCL;CL;SCL;-33.397.175;-7.079.382;
South Padre Island International Airport;BRO;US;BRO;2.590.889;-9.742.333;
Mohamed V International Airport;CMN;MA;CMN;3.336.667;-7.586.667;
Waco Municipal Airport;ACT;US;ACT;31.609.133;-9.722.321;
Guapi Airport;GPI;CO;GPI;2.5;-7.834.167;
Ted Stevens Anchorage International Airport;ANC;US;ANC;61.174.442;-14.999.638;
Margate Airport;MGH;ZA;MGH;-30.916.668;30.25;
Samos Airport;SMI;GR;SMI;3.769.145;26.914.417;
Coong Airport;VCS;VN;VCS;10.371.389;10.663.333;
Amilcar Cabral International Airport;SID;CV;SID;16.734.695;-22.943.613;
Nakhon Phanom Airport;KOP;TH;KOP;17.4;104.75;
Kayseri Airport;ASR;TR;ASR;387.742;35.490.707;
Reno/Tahoe International Airport;RNO;US;RNO;39.505.783;-119.775.696;
Larnaca International Airport;LCA;CY;LCA;34.880.867;3.362.599;
Mulika Lodge Airport;JJM;KE;JJM;0.233194;38.183.334;
Srinagar International Airport;SXR;IN;SXR;34.002.308;74.762.634;
Jieyang Chaoshan Airport;SWA;CN;SWA;23.430.237;11.675.859;
Winton Airport;WIN;AU;WIN;-22.35;14.306.667;
Gods Lake Narrows Airport;YGO;CA;YGO;54.55;-9.448.333;
Saguenay-Bagotville Airport;YBG;CA;YBG;48.322.224;-7.098.861;
Hancock International Airport;SYR;US;SYR;43.113.983;-7.611.223;
Calgary International Airport;YYC;CA;YYC;51.131.393;-11.401.055;
Mirabel International Airport;YMX;CA;YMQ;45.666.668;-74.03;
Gdansk Lech Walesa Airport;GDN;PL;GDN;54.380.978;18.468.655;
Shaktoolik Airport;SKK;US;SKK;64.324.165;-16.113.889;
Eppley Airfield;OMA;US;OMA;4.129.957;-9.589.972;
Yeager Airport;CRW;US;CRW;38.370.342;-81.596.504;
Lampang Airport;LPT;TH;LPT;18.274.166;99.507.225;
Langkawi International Airport;LGK;MY;LGK;6.342.174;997.314;
Rodrigues Island Airport;RRG;MU;RRG;-19.75;63.35;
Jonesboro Airport;JBR;US;JBR;35.83;-9.064.833;
Gizo Airport;GZO;SB;GZO;-8.116.667;15.683.333;
Morgantown Airport;MGW;US;MGW;39.642.776;-7.991.583;
Portimao Airport;PRM;PT;PRM;3.713.333;-8.533.333;
Antwerp International Airport;ANR;BE;ANR;5.118.916;4.450.672;
Sumburgh Airport;LSI;GB;SDZ;59.877.888;-1.287.111;
In Salah Airport;INZ;DZ;INZ;27.25;2.516.667;
Dunedin International Airport;DUD;NZ;DUD;-4.592.387;17.019.905;
Luang Prabang International Airport;LPQ;LA;LPQ;19.897.055;10.216.371;
Mildura Airport;MQL;AU;MQL;-34.230.835;14.208.455;
Nojabrxsk Airport;NOJ;RU;NOJ;6.317.673;7.529.459;
Treasure Cay Airport;TCB;BS;TCB;26.735;-7.737.222;
Angelholm Helsingborg Airport;AGH;SE;AGH;56.293.056;128.625;
Paulo Afonso Airport;PAV;BR;PAV;-9.397.778;-3.822.222;
Cataratas del Iguazu International Airport;IGR;AR;IGR;-25.731.504;-5.447.635;
Cerro Moreno International Airport;ANF;CL;ANF;-23.449;-7.044.079;
Temae Airport;MOZ;PF;MOZ;-17.490.433;-14.976.414;
Kramfors Airport;KRF;SE;KRF;63.049.442;17.772.778;
Emmonak Airport;EMK;US;EMK;62.776.943;-16.452.083;
Moi International Airport;MBA;KE;MBA;-40.327;3.960.325;
Sioux Gateway Airport;SUX;US;SUX;42.401.943;-9.638.417;
Tumling Tar Airport;TMI;NP;TMI;27.3;87.2;
Yampa Valley Airport;HDN;US;HDN;4.048.481;-107.220.764;
Juan Santamaria International Airport;SJO;CR;SJO;9.998.238;-8.420.408;
Kalamazoo Battle Creek International Airport;AZO;US;AZO;42.239.964;-8.555.656;
Liege Airport;LGG;BE;LGG;50.643.333;5.460.149;
Saint Pierre Airport;FSP;PM;FSP;46.916.668;-56.166.668;
Tri-Cities Regional Airport;TRI;US;TRI;3.648.111;-8.240.785;
Zunyi Xinzhou Airport;ZYI;CN;ZYI;27.666.668;106.833.336;
Jericoacoara;JJD;BR;JJD;-2.906.667;-40.358.055;
Mexicali Airport;MXL;MX;MXL;326.282;-115.248.215;
Jack Garland Airport;YYB;CA;YYB;46.356.823;-7.942.725;
Christmas Island Airport;CXI;KI;CXI;1.966.667;-157.45;
Kobuk/Wien Airport;OBU;US;OBU;6.691.055;-15.688.333;
Goroka Airport;GKA;PG;GKA;-6.075.244;14.539.293;
Verona Villafranca Airport;VRN;IT;VRN;4.540.233;10.906.796;
Mackay Airport;MKY;AU;MKY;-21.176.285;1.491.818;
Sharjah International Airport;SHJ;AE;SHJ;25.320.873;5.552.029;
Havre City County Airport;HVR;US;HVR;48.544.445;-10.976.111;
Carajas Airport;CKS;BR;CKS;-6.114.749;-50.001.945;
Santa Elena Airport;FRS;GT;FRS;16.916.668;-8.988.333;
Bintulu Airport;BTU;MY;BTU;3.171.772;11.304.346;
Tromso/Langnes Airport;TOS;NO;TOS;6.967.983;18.907.343;
Wiley Post-Will Rogers Memorial Airport;BRW;US;BRW;71.288.574;-15.677.579;
Wattay International Airport;VTE;LA;VTE;17.975.431;10.256.772;
Can Tho Airport;VCA;VN;VCA;10.047.222;10.576.639;
Svalbard Airport;LYR;SJ;LYR;78.208.885;15.8;
Norway House Airport;YNE;CA;YNE;53.954.166;-9.784.583;
Jiayuguan Airport;JGN;CN;JGN;39.833.332;98.416.664;
Pensacola International Airport;PNS;US;PNS;30.475.943;-8.719.416;
McAllen International Airport;MFE;US;MFE;26.181.295;-9.823.978;
Ningbo Airport;NGB;CN;NGB;29.820.415;121.462.395;
Ust-Kamenogorsk Airport;UKK;KZ;UKK;50.025.723;825.056;
Nantes Atlantique Airport;NTE;FR;NTE;47.157.623;-1.601.402;
Yeosu Airport;RSU;KR;RSU;348.419;12.761.267;
Launceston Airport;LST;AU;LST;-4.154.351;14.720.532;
Tenerife South Airport;TFS;ES;TCI;28.044.443;-165.725;
Toowoomba Wellcamp Airport;WTB;AU;TWB;-2.756.364;1.517.965;
Mountain Village Airport;MOU;US;MOU;62.089.443;-16.371.666;
Novosibirsk Tolmachevo Airport;OVB;RU;OVB;5.500.901;82.667;
Learmonth Airport;LEA;AU;LEA;-22.239.883;11.409.427;
Fascene Airport;NOS;MG;NOS;-13.311.111;4.831.389;
Muan International Airport;MWX;KR;MWX;34.991.405;12.638.281;
Capitan Oriel Lea Plaza Airport;TJA;BO;TJA;-21.554.167;-64.745.834;
Araguaina Airport;AUX;BR;AUX;-7.2;-48.2;
Will Rogers World Airport;OKC;US;OKC;3.539.563;-9.759.609;
Addis Ababa Bole International Airport;ADD;ET;ADD;8.983.759;387.959;
London Luton Airport;LTN;GB;LON;5.187.977;-0.376232;
Fort Lauderdale-Hollywood International Airport;FLL;US;FLL;26.071.491;-80.144.905;
Zhangjiajie Hehua Airport;DYG;CN;DYG;2.910.712;11.044.569;
Natuashish Airport;YNP;CA;YNP;5.591.389;-61.184.444;
Gregg County Airport;GGG;US;GGG;32.386.665;-9.471.528;
Seronera Airstrip;SEU;TZ;SEU;-2.383.333;34.816.666;
Gisborne Airport;GIS;NZ;GIS;-38.661.934;17.798.228;
Kallinge Airport;RNB;SE;RNB;5.625.833;15.261.111;
Oita Airport;OIT;JP;OIT;33.477.238;13.173.236;
Rio Grande Airport;RGA;AR;RGA;-53.779.167;-67.75;
St. Paul Downtown Airport;STP;US;MSP;44.933.334;-93.066.666;
Tallahassee International Airport;TLH;US;TLH;30.395.782;-8.434.444;
Pakse Airport;PKZ;LA;PKZ;15.136.257;105.781.296;
Matundo Airport;TET;MZ;TET;-16.103.333;3.363.889;
Shanghai Hongqiao International Airport;SHA;CN;SHA;31.196.815;12.134.197;
Mokmer Airport;BIK;ID;BIK;-1.191.919;13.610.582;
Dubbo City Regional Airport;DBO;AU;DBO;-32.218.822;14.856.956;
Tirana International Airport;TIA;AL;TIA;41.419.132;1.971.328;
Charleville Airport;CTL;AU;CTL;-26.413.334;14.625.842;
Ilheus/Bahia-Jorge Amado Airport;IOS;BR;IOS;-14.813.889;-39.03;
Glasgow International Airport;GGW;US;GGW;48.212.776;-106.615.555;
Ruben Berta Airport;URG;BR;URG;-29.781.668;-57.038.334;
Teresina Airport;THE;BR;THE;-506.335;-42.821.087;
Elmira Corning Regional Airport;ELM;US;ELM;4.216.304;-7.689.586;
Adi Sumarmo International Airport;SOC;ID;SOC;-751.583;11.075.667;
Ranong Airport;UNN;TH;UNN;9.852.778;98.629.166;
Al-Ahsa Airport;HOF;SA;HOF;25.294.783;4.948.746;
Helle Airport;SVJ;NO;SVJ;6.824.498;14.667.774;
Ulsan Airport;USN;KR;USN;3.559.367;12.935.597;
