airport_name;airport_code;country_code;city_code;lat;lon;
Burlington Airport;BRL;US;BRL;4.078.611;-9.112.334;
Phu Cat Airport;UIH;VN;UIH;13.766.111;10.922.639;
Miami International Airport;MIA;US;MIA;25.796;-8.027.824;
Hammerfest Airport;HFT;NO;HFT;7.067.999;23.675.867;
Alejo Garcia Airport;AGT;PY;AGT;-25.5;-54.833.332;
Josefa Camejo Airport;LSP;VE;LSP;11.777.155;-7.014.961;
Phoenix Sky Harbor International Airport;PHX;US;PHX;33.435.036;-11.200.016;
Brunei International Airport;BWN;BN;BWN;4.945.197;11.493.375;
Scottsdale Airport;SCF;US;PHX;3.361.667;-111.916.664;
Orange Airport;OAG;AU;OAG;-333.816;14.912.447;
Busuanga Airport;USU;PH;USU;12.1;120.166.664;
Les Angades Airport;OUD;MA;OUD;34.783.333;-1.933.333;
Chalons Vatry Airport;XCR;FR;PAR;48.767.776;4.201.111;
Clovis Municipal Airport;CVN;US;CVN;34.427.223;-10.307.889;
Arcata-Eureka Airport;ACV;US;ACV;40.970.913;-124.106.926;
Edinburgh Airport;EDI;GB;EDI;55.948.143;-3.364.177;
Kasos Island Airport;KSJ;GR;KSJ;3.542.139;26.916.668;
Qinhuangdao Beidaihe Airport;BPE;CN;SHP;24.0;96.0;
Dr. Babasaheb Ambedkar International Airport;NAG;IN;NAG;21.090.036;7.905.636;
Taipei Songshan Airport;TSA;TW;TPE;2.506.279;121.551.926;
Dawadmi Airport;DWD;SA;DWD;24.445.545;441.287;
Xining Airport;XNN;CN;XNN;36.525.322;10.203.754;
Craiova Airport;CRA;RO;CRA;4.431.889;23.886.389;
Mare Airport;MEE;NC;MEE;-21.482.311;16.803.609;
Alfonso B. Aragon Airport;CLO;CO;CLO;3.543.056;-76.381.386;
Napakiak Sea Plane Base;WNA;US;WNA;60.7;-16.211.667;
McGrath Airport;MCG;US;MCG;6.297.875;-15.565.764;
Madang Airport;MAG;PG;MAG;-5.210.852;14.578.784;
Tijuana Airport;TIJ;MX;TIJ;32.546.284;-11.697.466;
Shreveport Regional Airport;SHV;US;SHV;3.245.471;-93.828.384;
Portland International Airport;PDX;US;PDX;45.588.997;-1.225.929;
Phnom Penh International Airport;PNH;KH;PNH;11.546.111;10.484.778;
Asosa Airport;ASO;ET;ASO;10.047.222;34.536.667;
Okayama Airport;OKJ;JP;OKJ;3.476.022;13.385.277;
Valan Airport;HVG;NO;HVG;7.098.333;25.833.332;
Tikehau Atoll Airport;TIH;PF;TIH;-15.118.639;-1.482.338;
Kazan International Airport;KZN;RU;KZN;5.560.844;4.929.824;
Wapenamanda Airport;WBM;PG;WBM;-5.616.667;14.391.667;
John Wayne Airport;SNA;US;LAX;33.680.202;-117.860.535;
Bonito Airport;BYO;BR;BYO;-21.229.445;-56.456.112;
Governor's Harbour Airport;GHB;BS;GHB;25.280.489;-7.632.488;
Hachijo Jima Airport;HAC;JP;HAC;33.117.947;13.978.122;
Phitsanulok Airport;PHS;TH;PHS;16.771.307;1.002.812;
Elcho Island Airport;ELC;AU;ELC;-12.019.817;1.355.698;
McCarran International Airport;LAS;US;LAS;36.086.945;-1.151.486;
Mukah Airport;MKM;MY;MKM;2.906.944;11.207.972;
Nuiqsut Airport;NUI;US;NUI;70.209.724;-15.100.555;
Bejaia Airport;BJA;DZ;BJA;36.75;5.083.333;
Preston-Glenn Field;LYH;US;LYH;37.326.942;-7.920.111;
Hokitika Airport;HKK;NZ;HKK;-42.714.912;17.098.346;
New Chitose Airport;CTS;JP;SPK;4.278.728;14.168.134;
Chaoyang Airport;CHG;CN;CHG;41.545.082;1.204.372;
Resolute Bay Airport;YRB;CA;YRB;7.471.667;-9.496.667;
Taiwan Taoyuan International Airport;TPE;TW;TPE;2.507.639;12.122.389;
Munda Airport;MUA;SB;MUA;-832.794;15.726.971;
Curacao International Airport;CUR;CW;CUR;12.184.615;-6.895.706;
Kangerlussuaq Airport;SFJ;GL;SFJ;6.701.222;-50.719.723;
Blacker Airport;MBL;US;MBL;44.273.888;-86.253.334;
Chokurdah Airport;CKH;RU;CKH;7.063.333;14.788.333;
Gold Coast Airport;OOL;AU;OOL;-28.166.164;15.351.314;
Roberts Field Redmond Municipal Airport;RDM;US;RDM;44.254.272;-121.162.895;
Viracopos Airport;VCP;BR;SAO;-23.009.892;-47.141.674;
Belaya Gora Airport;BGN;RU;BGN;68.538.055;14.618.584;
Tanna Airport;TAH;VU;TAH;-19.458.445;16.922.821;
Lebanon Regional Airport;LEB;US;LEB;4.362.936;-72.310.005;
Richland Municipal Airport;SDY;US;SDY;47.706.944;-10.419.194;
Gorgon Airport;GBT;IR;GBT;3.690.851;54.410.515;
Kudat Airport;KUD;MY;KUD;6.925;11.683.417;
Cat Bi International Airport;HPH;VN;HPH;20.823.315;106.727.325;
Pantnagar Airport;PGH;IN;PGH;29.031.944;7.947.361;
La Rioja Airport;IRJ;AR;IRJ;-29.383.333;-6.678.333;
Martinique Aime Cesaire International Airport;FDF;MQ;FDF;14.596.061;-60.999.947;
Piedmont Triad International Airport;GSO;US;GSO;36.105.324;-799.373;
Porto Airport;OPO;PT;OPO;41.237.774;-8.670.272;
Captain FAP Victor Montes Arias Airport;TYL;PE;TYL;-4.564.722;-8.125.278;
Yiwu Airport;YIW;CN;YIW;29.344.563;12.002.881;
Tanjung Manis Airport;TGC;MY;TGC;2.176.315;11.120.335;
Polyarnyj Airport;PYJ;RU;PYJ;66.416.664;112.05;
Kogalym International Airport;KGP;RU;KGP;6.219.583;7.453.361;
Cape Town International Airport;CPT;ZA;CPT;-33.968.906;18.596.489;
Masset Airport;ZMT;CA;ZMT;54.016.666;-132.15;
Mwanza Airport;MWZ;TZ;MWZ;-2.441.221;32.923.225;
Variguies Airport;EJA;CO;EJA;7.015.833;-73.799.164;
Kirkwall Airport;KOI;GB;KOI;58.958.057;-2.900.556;
Iskandar Airport;PKN;ID;PKN;-2.7;111.666.664;
Arba Mintch Airport;AMH;ET;AMH;6.036.111;37.576.942;
Gainesville Regional Airport;GNV;US;GNV;29.686.142;-82.276.794;
Split Airport;SPU;HR;SPU;43.536.526;1.629.946;
Sultan Haji Ahmad Shah Airport;KUA;MY;KUA;3.780.765;10.321.518;
Orsk Airport;OSW;RU;OSW;51.2;58.566.666;
Arturo Michelena International Airport;VLN;VE;VLN;1.015.429;-6.792.248;
Omsk Airport;OMS;RU;OMS;54.957.455;733.167;
Maceio-Zumbi dos Palmares International Airport;MCZ;BR;MCZ;-9.512.521;-35.800.446;
Golmud Airport;GOQ;CN;GOQ;36.404.633;9.478.931;
Lulea Airport;LLA;SE;LLA;6.554.939;22.123.587;
Sarasota Bradenton International Airport;SRQ;US;SRQ;2.738.748;-8.255.328;
Roxas City Airport;RXS;PH;RXS;1.160.066;12.274.882;
Angling Lake Airport;YAX;CA;YAX;53.251.945;-89.565;
Baltra Airport;GPS;EC;GPS;-0.434722;-90.282.776;
Vanimo Airport;VAI;PG;VAI;-2.694.722;14.130.194;
Uberlandia-Ten. Cel. Av. Cesar Bombonato Airport;UDI;BR;UDI;-18.9;-48.233.334;
Sandspit Airport;YZP;CA;YZP;53.254.444;-13.181.277;
Canadian Rockies International Airport;YXC;CA;YXC;4.961.437;-115.787.025;
Avram Iancu Cluj International Airport;CLJ;RO;CLJ;46.782.063;23.687.014;
Aktion Airport;PVK;GR;PVK;38.926.388;20.765.833;
Kefallinia Airport;EFL;GR;EFL;38.118.057;20.505.556;
Kangding Airport;KGT;CN;KGT;301.575;10.173.472;
Toyama Airport;TOY;JP;TOY;3.664.245;13.718.945;
Mudanjiang Airport;MDG;CN;MDG;44.534.943;12.958.385;
Manas International Airport;FRU;KG;FRU;4.305.358;7.446.945;
Hiroshima Airport;HIJ;JP;HIJ;3.443.611;13.291.945;
King Hussein International Airport;AQJ;JO;AQJ;29.610.073;3.502.151;
Hang Nadim International Airport;BTH;ID;BTH;1.123.627;10.411.528;
Al-Najaf International Airport;NJF;IQ;NJF;31.993.563;44.389.187;
Sulaimaniyah International Airport;ISU;IQ;ISU;355.608;45.314.716;
Erzurum Airport;ERZ;TR;ERZ;39.955.555;4.117.361;
Chubu Centrair International Airport;NGO;JP;NGO;34.858.334;13.680.528;
;ООЛ;RU;ООЛ;65.238.335;16.054.195;
Lal Bahadur Shastri International Airport;VNS;IN;VNS;25.449.697;8.285.373;
Hamburg Airport;HAM;DE;HAM;5.363.128;10.006.414;
Kwajalein Airport;KWA;MH;KWA;8.720.843;16.772.195;
Penticton Airport;YYF;CA;YYF;4.946.472;-119.6;
San Angelo Regional Airport;SJT;US;SJT;31.355;-10.049.639;
Akron-Canton Airport;CAK;US;CAK;40.914.963;-8.143.583;
El Salvador International Airport;SAL;SV;SAL;13.445.126;-8.905.723;
Chevak Airport;VAK;US;VAK;6.152.861;-16.559.027;
Yakutat Airport;YAK;US;YAK;59.509.167;-13.965.973;
Bob Baker Memorial Airport;IAN;US;IAN;66.975.555;-16.043.056;
Maastricht Aachen Airport;MST;NL;MST;5.091.562;5.768.827;
Robert L. Bradshaw International Airport;SKB;KN;SKB;17.310.843;-6.271.397;
Moree Airport;MRZ;AU;MRZ;-29.496.346;14.985.019;
Sogndal Airport;SOG;NO;SOG;61.158.127;7.136.988;
Bayannur Tianjitai Airport;RLK;CN;RLK;40.926.388;10.773.889;
Vologda Airport;VGD;RU;VGD;59.283.333;39.95;
Los Canos Airport;GAO;CU;GAO;20.084.723;-7.515.861;
Birmingham-Shuttlesworth International Airport;BHM;US;BHM;33.560.833;-8.675.219;
Bodaybo Airport;ODO;RU;ODO;5.786.639;1.142.425;
Al Ain Airport;AAN;AE;AAN;24.260.231;55.616.627;
Bhavnagar Airport;BHU;IN;BHU;21.755;7.218.444;
San Juan Airport;UAQ;AR;UAQ;-31.55;-6.851.667;
Capitan Rolden Airport;PCL;PE;PCL;-8.333.333;-7.463.333;
Penza Airport;PEZ;RU;PEZ;5.311.852;4.502.305;
Lord Howe Island Airport;LDH;AU;LDH;-31.540.808;15.907.816;
Torsby Airport;TYF;SE;TYF;60.154.484;1.299.661;
Roanoke-Blacksburg Regional Airport;ROA;US;ROA;3.732.051;-7.997.038;
Sao Jorge Island Airport;SJZ;PT;SJZ;38.664.616;-2.816.843;
Roi Et Airport;ROI;TH;ROI;16.115.278;10.377.695;
Port Macquarie Airport;PQQ;AU;PQQ;-31.431.402;15.286.723;
Macau International Airport;MFM;MO;MFM;22.156.588;11.357.285;
Tiksi Airport;IKS;RU;IKS;71.7;128.9;
Lugano Airport;LUG;CH;LUG;46.016.666;8.966.667;
Humera Airport;HUE;ET;HUE;14.25;36.583.332;
Bar Harbor Airport;BHB;US;BHB;4.444.889;-68.361.664;
Vadodara Airport;BDQ;IN;BDQ;22.329.077;732.157;
Comte Antonio Amilton Beraldo Airport;PGZ;BR;PGZ;-25.083.332;-50.15;
Koggala Airport;KCT;LK;KCT;5.983.056;8.033.305;
Cheboksary Airport;CSY;RU;CSY;5.613.333;47.266.666;
Corozal Airport;CZU;CO;CZU;93.375;-75.282.776;
Port Hardy Airport;YZT;CA;YZT;50.680.557;-12.736.389;
Val De Cans International Airport;BEL;BR;BEL;-1.389.865;-48.480.003;
Unalaska Airport;DUT;US;DUT;5.389.446;-16.654.224;
Maraba Airport;MAB;BR;MAB;-5.366.667;-49.166.668;
Springfield-Branson National Airport;SGF;US;SGF;3.724.237;-9.338.226;
Rach Gia Airport;VKG;VN;VKG;10.083.333;105.083.336;
Missoula International Airport;MSO;US;MSO;46.918.964;-11.408.321;
Strezhevoy Airport;SWT;RU;SWT;60.5;77.0;
Macapa International Airport;MCP;BR;MCP;0.049895;-51.068.382;
Berlevag Airport;BVG;NO;BVG;7.086.667;29.0;
Chapeco Airport;XAP;BR;XAP;-27.088.612;-52.629.723;
Mazatlan International Airport;MZT;MX;MZT;23.167.315;-10.627.015;
Sawyer International Airport;MQT;US;MQT;4.635.361;-8.739.528;
Timika Airport;TIM;ID;TIM;-4.525.666;13.688.748;
Devils Lake Airport;DVL;US;DVL;48.113.056;-989.075;
Kerteh Airport;KTE;MY;KTE;4.538.333;10.342.833;
George F. L. Charles Airport;SLU;LC;SLU;14.020.417;-6.099.441;
La Garenne Airport;AGF;FR;AGF;4.417.361;0.598611;
Fortuna Airport;FON;CR;FON;10.4;-8.448.333;
Mus Airport;MSR;TR;MSR;38.725;41.625;
Baton Rouge Metropolitan Airport;BTR;US;BTR;30.532.537;-91.156.906;
Augusta Regional Airport;AGS;US;AGS;33.373.665;-81.973.434;
Coffs Harbour Airport;CFS;AU;CFS;-30.322.863;1.531.153;
Tjilik Riwut Airport;PKY;ID;PKY;-2.223.958;113.945.786;
Veracruz International Airport;VER;MX;VER;19.142.275;-9.618.321;
Texarkana Municipal Airport;TXK;US;TXK;3.345.639;-9.398.917;
Smith-Reynolds Airport;INT;US;INT;36.135.277;-80.225.555;
Kumbhirgram Airport;IXS;IN;IXS;24.916.018;92.979.256;
Stockholm Skavsta Airport;NYO;SE;STO;5.878.425;16.922.867;
Kamau;CAH;VN;CAH;9.175.556;10.517.944;
Niamey Airport;NIM;NE;NIM;13.476.534;2.177.158;
Atyrau Airport;GUW;KZ;GUW;47.122.814;51.829.556;
Fort Wayne International Airport;FWA;US;FWA;4.098.666;-8.518.771;
City of Derry Airport;LDY;GB;LDY;55.039.566;-7.155.835;
Mulu Airport;MZV;MY;MZV;4.033.333;114.8;
Pleiku Airport;PXU;VN;PXU;14.006.346;10.800.896;
Campeche International Airport;CPE;MX;CPE;19.835;-90.509.445;
Panama Pacifico Airport;BLB;PA;BLB;8.973.056;-795.575;
Grant County Airport;SVC;US;SVC;32.631.943;-10.815.389;
Turku Airport;TKU;FI;TKU;60.512.794;2.228.098;
Erbil International Airport;EBL;IQ;EBL;362.375;43.963.055;
Urmia Airport;OMH;IR;OMH;37.662.525;4.505.877;
Lago Agrio Airport;LGQ;EC;LGQ;0.1;-7.688.333;
Adrar Airport;AZR;DZ;AZR;27.883.333;-0.283333;
Edward G. Pitka Sr. Airport;GAL;US;GAL;6.473.798;-15.694.186;
Lihue Airport;LIH;US;LIH;21.978.205;-15.934.944;
Milas-Bodrum Airport;BJV;TR;BJV;37.243.954;27.672.781;
Elazig Airport;EZS;TR;EZS;38.608.334;39.291.668;
Magadan Airport;GDX;RU;GDX;59.916.668;15.071.666;
Chu Lai International Airport;VCL;VN;VCL;15.422.222;10.870.389;
Philip S.W. Goldson International Airport;BZE;BZ;BZE;17.539.167;-88.308.334;
Roumanieres Airport;EGC;FR;EGC;44.85;0.483333;
Presque Isle Municipal Airport;PQI;US;PQI;46.685;-680.475;
Goma Airport;GOM;CD;GOM;-1.67;29.235;
Gaziantep Airport;GZT;TR;GZT;36.944.935;37.473.747;
Dali Airport;DLU;CN;DLU;2.565.135;10.032.316;
Felix Eboue Airport;CAY;GF;CAY;4.816.667;-5.236.667;
Egegik Airport;EGX;US;EGX;5.820.778;-15.737.029;
Willard University Airport;CMI;US;CMI;40.039.665;-8.826.905;
Lichinga Airport;VXC;MZ;VXC;-13.283.333;35.25;
Sinop Airport - Turkey;NOP;TR;NOP;420.175;3.506.889;
Kiruna Airport;KRN;SE;KRN;6.782.222;20.345.833;
Timmins Victor M. Power Airport;YTS;CA;YTS;48.566.372;-8.137.164;
Golden Triangle Regional Airport;GTR;US;UBS;33.45;-88.6;
Ust-Tsilma;UTS;RU;UTS;65.433.334;52.2;
Ryumsjoen Airport;RVK;NO;RVK;6.488.333;11.233.333;
Tezpur Airport;TEZ;IN;TEZ;26.710.833;9.279.611;
Jackson Hole Airport;JAC;US;JAC;43.602.806;-11.073.613;
Daytona Beach International Airport;DAB;US;DAB;29.185.192;-8.106.083;
Barcaldine Airport;BCI;AU;BCI;-23.559.168;14.530.194;
Brindisi - Salento Airport;BDS;IT;BDS;40.657.993;17.939.053;
Richmond International Airport (Byrd Field);RIC;US;RIC;3.750.611;-773.225;
Beihai Fucheng Airport;BHY;CN;BHY;21.540.333;10.928.785;
Niigata Airport;KIJ;JP;KIJ;37.951.992;13.911.325;
Santa Barbara Municipal Airport;SBA;US;SBA;34.432.835;-11.983.648;
Passo Fundo Airport;PFB;BR;PFB;-28.25;-52.333.332;
Rockhampton Airport;ROK;AU;ROK;-23.377.993;15.047.841;
Kota Kinabalu International Airport;BKI;MY;BKI;5.923.961;11.605.075;
Jacksonville International Airport;JAX;US;JAX;30.491.657;-8.168.306;
Lewiston-Nez Perce County Regional Airport;LWS;US;LWS;4.637.472;-11.701.444;
Menorca Airport;MAH;ES;MAH;39.864.746;4.226.256;
Inuvik Mike Zubko Airport;YEV;CA;YEV;6.830.665;-13.349.767;
Hagfors Airport;HFS;SE;HFS;600.175;13.569.167;
Viseu Airport;VSE;PT;VSE;40.65;-7.916.667;
Poprad/Tatry Airport;TAT;SK;TAT;49.071.945;20.240.278;
Shishmaref Airport;SHH;US;SHH;6.625.694;-16.605.833;
Diyarbakir Airport;DIY;TR;DIY;37.903.873;4.020.458;
Leeds Bradford International Airport;LBA;GB;LBA;5.386.934;-1.659.985;
Tokua Airport;RAB;PG;RAB;-4.333.333;15.236.667;
Thief River Falls Regional Airport;TVF;US;TVF;48.066.113;-96.185;
Hilton Head Airport;HHH;US;HHH;32.216.667;-80.683.334;
Sachigo Lake Airport;ZPB;CA;ZPB;53.890.556;-92.195.274;
Gambela Airport;GMB;ET;GMB;8.283.333;34.583.332;
Cooktown Airport;CTN;AU;CTN;-15.443.333;14.518.333;
Akita Airport;AXT;JP;AXT;3.961.177;14.022.015;
L'Mekrareg Airport;LOO;DZ;LOO;33.833.332;2.983.333;
Coimbatore International Airport;CJB;IN;CJB;11.031.026;7.703.893;
Cornel Ruiz Airport;CIX;PE;CIX;-6.789.722;-7.983.222;
Bilbao Airport;BIO;ES;BIO;43.305.534;-2.905.808;
Chicago Rockford International Airport;RFD;US;CHI;4.230.364;-89.222.115;
Swami Vivekananda Airport;RPR;IN;RPR;2.118.456;8.173.975;
McGhee Tyson Airport;TYS;US;TYS;3.580.565;-8.398.973;
Zagreb International Airport;ZAG;HR;ZAG;45.733.242;1.606.152;
Ottawa/Macdonald-Cartier International Airport;YOW;CA;YOW;4.532.083;-75.672.775;
Keperveyem Airport;KPW;RU;KPW;6.784.611;16.613.722;
Kuopio Airport;KUO;FI;KUO;63.008.907;27.788.696;
Valdez Municipal Airport;VDZ;US;VDZ;611.325;-14.623.889;
El Pucu Airport;FMA;AR;FMA;-26.212.778;-58.235;
Skiathos Airport;JSI;GR;JSI;39.180.557;23.505.556;
Tampere-Pirkkala Airport;TMP;FI;TMP;6.142.045;23.617.563;
Qaisumah Airport;AQI;SA;AQI;28.334.408;46.121.315;
Hercilio Luz International Airport;FLN;BR;FLN;-27.664.446;-485.452;
Bangoka International Airport;FKI;CD;FKI;0.516667;25.2;
Yamaguchi Ube Airport;UBJ;JP;UBJ;33.933.395;13.127.489;
Friday Harbor Airport;FRD;US;FRD;48.524.807;-1.230.265;
Zadar Airport;ZAD;HR;ZAD;4.409.778;15.356.667;
Syros Island Airport;JSY;GR;JSY;3.742.361;24.95;
Kalgoorlie Airport;KGI;AU;KGI;-30.785.246;12.145.792;
Kerry County Airport;KIR;IE;KIR;52.181.477;-9.535.666;
Kaduna Airport;KAD;NG;KAD;10.595.833;7.440.278;
Willow Run Airport;YIP;US;DTT;42.233.334;-8.353.333;
Dehra Dun Airport;DED;IN;DED;30.316.668;7.803.333;
Inedbirenne Airport;DJG;DZ;DJG;24.465.279;9.488.889;
Miri Airport;MYY;MY;MYY;4.325.261;113.983.116;
Dakhla Airport;VIL;MA;VIL;23.713.333;-15.935;
Hamilton Island Airport;HTI;AU;HTI;-2.035.175;14.894.847;
Tabatinga International Airport;TBT;BR;TBT;-4.233.333;-69.933.334;
Del Norte County Regional Airport;CEC;US;CEC;41.78;-12.423.583;
Balikesir Koca Seyit Airport;EDO;TR;EDO;39.583.332;27.033.333;
King Shaka International Airport;DUR;ZA;DUR;-29.614.445;31.116.388;
Novy Urengoy Airport;NUX;RU;NUX;6.607.335;76.522.835;
Pattimura Airport;AMQ;ID;AMQ;-3.704.996;12.808.888;
Raiatea Airport;RFP;PF;RFP;-16.725.004;-15.146.666;
Skelleftea Airport;SFT;SE;SFT;6.462.251;21.068.548;
Olenyok Airport;ONK;RU;ONK;6.851.556;112.479.164;
Ireland West Airport Knock;NOC;IE;NOC;53.914;-8.810.468;
Hubli Airport;HBX;IN;HBX;15.358.738;7.508.608;
Dnipro International Airport;DNK;UA;DNK;4.836.874;3.509.446;
Teterboro Airport;TEB;US;TEB;40.849.724;-74.062.225;
Wilson Airport;WIL;KE;NBO;-1.318.018;36.813.248;
Goleniow Airport;SZZ;PL;SZZ;53.593.525;14.894.611;
Islamabad International Airport;ISB;PK;ISB;3.355.429;7.283.417;
Isfahan International Airport;IFN;IR;IFN;32.745.686;5.187.638;
Tokachi-Obihiro Airport;OBO;JP;OBO;42.732.002;14.321.243;
La Florida Airport;TCO;CO;TCO;1.816.667;-7.876.667;
Miyazaki Airport;KMI;JP;KMI;31.872.498;13.144.147;
Luang Namtha Airport;LXG;LA;LXG;21.05;10.146.667;
Kutaisi International Airport;KUT;GE;KUT;42.25;42.7;
Sanandaj Airport;SDG;IR;SDG;35.251.472;47.013.767;
Banja Luka Airport;BNX;BA;BNX;44.933.334;17.3;
Kostanay Airport;KSN;KZ;KSN;53.2;63.55;
Dharavandhoo AIrport;DRV;MV;DRV;5.156.111;7.313.028;
A Coruna Airport;LCG;ES;LCG;4.330.236;-8.381.923;
Dezful Airport;DEF;IR;DEF;32.438.828;4.838.468;
Savannah/Hilton Head Airport;SAV;US;SAV;321.358;-8.121.059;
Chicago Midway International Airport;MDW;US;CHI;41.788.136;-8.774.087;
Ershilipu Airport;ENY;CN;ENY;36.639.366;10.955.148;
Manuel Crescencio Rejon International Airport;MID;MX;MID;20.933.823;-8.966.375;
Heydar Aliyev International Airport;GYD;AZ;BAK;40.462.486;5.005.039;
Jamestown Airport;JHW;US;JHW;42.150.555;-7.925.806;
Santa Maria Airport;RIA;BR;RIA;-29.710.556;-536.875;
Assiut Airport;ATZ;EG;ATZ;27.033.333;31.0;
Sultan Mahmud Airport;TGG;MY;TGG;5.380.504;10.310.642;
Garoua Airport;GOU;CM;GOU;9.336.111;13.375.556;
Shonai Airport;SYO;JP;SYO;38.809.444;13.979.056;
Sofia Airport;SOF;BG;SOF;42.688.343;2.341.443;
Hartsfield-Jackson Atlanta International Airport;ATL;US;ATL;33.640.068;-8.444.403;
Santarem-Maestro Wilson Fonseca Airport;STM;BR;STM;-2.424.886;-5.478.639;
Bratsk Airport;BTK;RU;BTK;5.636.667;101.816.666;
Isfana;ИФА;KG;ИФА;39.824.722;6.956.861;
Servel Airport;LAI;FR;LAI;48.754.166;-3.481.944;
Jose Joaquin de Olmedo Airport;GYE;EC;GYE;-2.142.654;-7.988.032;
Alyangula Airport;GTE;AU;GTE;-13.973.887;13.646.002;
Handan Airport;HDG;CN;HDG;36.525.833;114.425;
;JGB;IN;JGB;19.066.668;8.203.333;
Augusta Airport;AUG;US;AUG;44.318.054;-6.979.667;
John F. Kennedy International Airport;JFK;US;NYC;40.642.334;-7.378.817;
Batna Airport;BLJ;DZ;BLJ;35.566.666;6.183.333;
Janakpur Airport;JKR;NP;JKR;26.708.332;8.592.389;
Christchurch International Airport;CHC;NZ;CHC;-43.488.655;1.725.389;
Xuzhou Guanyin Airport;XUZ;CN;XUZ;34.052.925;11.755.408;
Golfito Airport;GLF;CR;GLF;8.651.389;-8.318.083;
Malacca International Airport;MKZ;MY;MKZ;2.264.167;102.253.334;
Llabanere Airport;PGF;FR;PGF;42.741.016;2.868.183;
Beauvais-Tille Airport;BVA;FR;PAR;49.459.488;2.110.815;
Yakushima Airport;KUM;JP;KUM;30.385.555;13.065.916;
Setif Airport;QSF;DZ;QSF;3.618.139;5.331.111;
Shenandoah Valley Airport;SHD;US;SHD;3.826.389;-7.889.667;
Hovden Airport;HOV;NO;HOV;62.179.787;6.078.802;
Erfurt Airport;ERF;DE;ERF;50.974.915;10.961.163;
Palma de Mallorca Airport;PMI;ES;PMI;39.547.653;2.730.388;
Karlstad Airport;KSD;SE;KSD;59.360.283;13.472.059;
St. Petersburg-Clearwater International Airport;PIE;US;TPA;27.912.004;-8.269.511;
MBS International Airport;MBS;US;MBS;4.353.339;-84.090.744;
Terrance B. Lettsome International Airport;EIS;VG;EIS;1.844.389;-6.454.278;
Tancredo Neves International Airport;CNF;BR;BHZ;-19.632.418;-43.963.215;
Zhezhazgan Airport;DZN;KZ;DZN;47.7;6.773.333;
La Isabela International Airport;JBQ;DO;SDQ;18.575.731;-6.998.144;
Lehigh Valley International Airport;ABE;US;ABE;40.651.573;-75.434.364;
Siirt Airport;SXZ;TR;SXZ;37.98;41.84;
Griffith Airport;GFF;AU;GFF;-34.255.432;1.460.627;
General Brees Field;LAR;US;LAR;4.131.361;-10.567.306;
Savonlinna Airport;SVL;FI;SVL;61.95;28.95;
Timaru Airport;TIU;NZ;TIU;-44.303.448;17.122.632;
Dourados Airport;DOU;BR;DOU;-22.202.778;-54.925.556;
Tulsa International Airport;TUL;US;TUL;36.189.808;-958.901;
Chania International Airport;CHQ;GR;CHQ;355.402;24.140.373;
Shymkent Airport;CIT;KZ;CIT;42.3;69.6;
Bukoba Airport;BKZ;TZ;BKZ;-1.3;31.8;
Diego Aracena International Airport;IQQ;CL;IQQ;-20.547.937;-7.017.848;
Egilsstadir Airport;EGS;IS;EGS;6.527.778;-14.402.778;
Adelaide Airport;ADL;AU;ADL;-34.938.175;13.853.735;
Kakamega Airport;GGM;KE;GGM;0.266425;34.783.333;
Linz Airport;LNZ;AT;LNZ;4.823.987;14.193.345;
Kenneth Kaunda International Airport;LUN;ZM;LUN;-15.325.017;28.445.747;
Florence Airport;FLO;US;FLO;3.418.889;-7.972.444;
Wajir Airport;WJR;KE;WJR;1.766.667;40.6;
Marsa Alam International Airport;RMF;EG;RMF;25.555.786;34.592.777;
El Paso International Airport;ELP;US;ELP;31.798.948;-106.396;
Abruzzo Airport;PSR;IT;PSR;4.243.722;14.187.222;
Mmabatho International Airport;MBD;ZA;MBD;-25.816.668;25.5;
Utapao Airport;UTP;TH;UTP;12.683.333;10.101.667;
Diu Airport;DIU;IN;DIU;20.716.667;70.916.664;
Polgolla Reservoir Airport;KDZ;LK;KDZ;7.330.555;8.064.167;
Bratislava Airport;BTS;SK;BTS;48.170.017;17.199.799;
Kameshly Airport;KAC;SY;KAC;37.031.025;4.120.556;
Burke Lakefront Airport;BKL;US;CLE;41.516.945;-81.683.334;
Mazar-I-Sharif Airport;MZR;AF;MZR;3.670.919;6.720.849;
Tuzla International Airport;TZL;BA;TZL;4.440.972;18.709.167;
Kitale Airport;KTL;KE;KTL;0.974111;34.959.248;
Oranjemund Airport;OMD;NA;OMD;-28.583.332;16.45;
Lanzhou Zhongchuan International Airport;LHW;CN;LHW;36.033.333;10.386.667;
Kruger Mpumalanga International Airport;MQP;ZA;NLP;-25.384.947;31.098.131;
Francisco Bangoy Intl Airport;DVO;PH;DVO;7.130.696;1.256.447;
Olympic Dam Airport;OLP;AU;OLP;-30.483.898;13.688.411;
Dodoma Airport;DOD;TZ;DOD;-6.166.667;3.575.028;
Xianyang International Airport;XIY;CN;SIA;34.441.154;10.875.605;
Civil Airport;ZYL;BD;ZYL;24.957.598;91.870.476;
Hualien Airport;HUN;TW;HUN;24.025.764;121.613.434;
Iturup;ITU;RU;ITU;4.525.611;14.795.583;
Lublin Airport;LUZ;PL;LUZ;51.231.945;22.690.277;
Fera Island Airport;FRE;SB;FRE;-8.1;15.958.333;
Karpathos Airport;AOK;GR;AOK;35.420.685;27.146.729;
Myitkyina Airport;MYT;MM;MYT;25.354.168;9.729.889;
